"first_author","year","title","doi","source","scope","category","time_period","temporal_resolution","spatial_scale","taxonomic_group","paper_type","framing_title","framing_abstract","scope_multi_species","scope_multi_higher_class_and_up","reporting_significance","reporting_effect_size","reporting_uncertainty_w_effect_size","attribution_component","attribution_quant_test","relevance_for_prediction_potentially_1","relevance_for_prediction_directly_1","scored_sum"
"Behling, H",2003,"Late glacial and Holocene vegetation, climate and fire history inferred from Lagoa Nova in the southeastern Brazilian lowland","10.1007/s00334-003-0020-9","Web of Science","ecological","near-time","last 10 ka","100 years","Regional","Vegetation","Original data",1,1,1,1,0,0,0,1,0,1,0,6
"Millar, CI",2006,"Late Holocene forest dynamics, volcanism, and climate change at Whitewing Mountain and San Joaquin Ridge, Mono County, Sierra Nevada, CA, USA","10.1016/j.yqres.2006.05.001","Web of Science","ecological","near-time","815-1350 AD","1 year","Regional","Vegetation","Original data",1,1,1,0,1,1,0,1,1,1,1,9
"Badyrka, K",2013,"Paleoecology of brachiopod communities during the late Paleozoic ice age in Bolivia (Copacabana Formation, Pennsylvanian-Early Permian)","10.1016/j.palaeo.2013.07.016","Web of Science","ecological","deep-time","Early Permian","millions of years","Regional","brachipods","Original data",0,1,1,0,1,1,0,1,1,1,0,7
"Jantz, N",2012,"A Holocene environmental record reflecting vegetation, climate, and fire variability at the Paramo of Quimsacocha, southwestern Ecuadorian Andes","10.1007/s00334-011-0327-x","Web of Science","ecological","near-time","0 - 8,000","100 years","Local","Pollen, charcoal","Original data",1,1,1,1,1,0,0,1,0,1,0,7
"Kiessling, W",2011,"Marine benthic invertebrates from the Upper Jurassic of northern Ethiopia and their biogeographic affinities","10.1016/j.jafrearsci.2010.10.006","","ecological","deep-time","Upper Jurassic","millions of years","Regional","marine invertebrates","Meta-analysis/Compilation",0,0,1,1,0,0,0,1,0,0,0,3
"Rasser, MW",2013,"The Randeck Maar: Palaeoenvironment and habitat differentiation of a Miocene lacustrine system","10.1016/j.palaeo.2013.09.025","Web of Science","ecological","deep-time","Miocene (MMOC)","na","Local","many","Original data",0,1,1,1,0,0,0,1,0,0,0,4
"Veter, NM",2013,"Is Rapoport's rule a recent phenomenon? A deep time perspective on potential causal mechanisms","10.1098/rsbl.2013.0398","Web of Science","ecological","deep-time","Cenozoic","Geological stages","Continent","Mammals","Meta-analysis/Compilation",0,1,1,0,0,0,0,1,0,1,0,4
"Sevink, J",2013,"The Holocene of the Agro Pontino graben: Recent advances in its palaeogeography, palaeoecology, and tephrostratigraphy","10.1016/j.quaint.2013.01.006","Web of Science","ecological","near-time","Holocene","10 years","Local","Vegetation","Review (nothing new)",0,0,1,1,0,0,0,1,0,0,0,3
"Field, BD",2009,"Middle Miocene paleoclimate change at Bryce Burn, southern New Zealand","10.1080/00288306.2009.9518461","","ecological","deep-time","Middle Miocene","100000 years","Local","Vegetation","Original data",1,1,1,1,0,0,0,1,0,1,0,6
"Rofes, J",2009,"First record of Beremendia fissidens (Mammalia, Soricidae) in the Pleistocene of the Iberian Peninsula, with a review of the biostratigraphy, biogeography and palaeoecology of the species","10.1016/j.crpv.2008.08.004","Web of Science","ecological","deep-time","Pleistocene",NA,"Regional","mammal","Original data",0,0,0,0,0,0,0,1,0,0,0,1
"Jankovska, V",2013,"Reevaluation of the palaeoenvironmental record of the former Komoranske jezero lake: late-glacial and Holocene palaeolimnology and vegetation development in north-western Bohemia, Czech Republic",NA,"Web of Science","ecological","near-time","0 - 8200","1000 years","Local","Pollen","Original data",1,1,1,1,0,0,0,1,0,1,0,6
"Williams, JW",2011,"Extrinsic and intrinsic forcing of abrupt ecological change: case studies from the late Quaternary","10.1111/j.1365-2745.2011.01810.x","Web of Science","ecological","near-time","late Quaternary","various","na","various","Review (nothing new)",0,1,1,1,0,0,0,1,0,1,0,5
"Blarquez, O",2010,"Holocene fires and a herb-dominated understorey track wetter climates in subalpine forests","10.1111/j.1365-2745.2010.01721.x","","ecological","historical","last 8000 years","100 years","Local","vegetation","Original data",1,1,1,1,0,1,1,1,0,1,1,9
"Hare, V",2013,"Middle Pleistocene dynamics of southern Africa's winter rainfall zone from delta C-13 and delta O-18 values of Hoedjiespunt faunal enamel","10.1016/j.palaeo.2013.01.006","Web of Science","ecological","near-time","Pleistocene","na","Local","Ungulates","Original data",0,1,1,0,1,0,0,1,0,1,0,5
"Roberts, EM",2010,"Sedimentology and depositional environments of the Red Sandstone Group, Rukwa Rift Basin, southwestern Tanzania: New insight into Cretaceous and Paleogene terrestrial ecosystems and tectonics in sub-equatorial Africa","10.1016/j.jafrearsci.2009.09.002","Web of Science","ecological","deep-time","Cretaceous-Paleogene","millions of years","Local","multiple","Original data",0,1,1,1,0,0,0,1,0,0,0,4
"Agiadi, K",2011,"The early Quaternary palaeobiogeography of the eastern Ionian deep-sea Teleost fauna: A novel palaeocirculation approach","10.1016/j.palaeo.2011.04.029","Web of Science","ecological","near-time","early Quaternary","100000 years","Regional","fish","Original data",0,0,1,0,0,0,0,1,0,1,0,3
"Montoya, E",2012,"Non-pollen palynomorph studies in the Neotropics: The case of Venezuela","10.1016/j.revpalbo.2012.06.008","","ecological","near-time","Late Quaternary","100 years","Local","Plants, fungi","Original data",0,1,1,1,0,0,0,0,0,0,0,3
"Hajar, L",2008,"Vegetation changes during the late Pleistocene and Holocene in Lebanon: a pollen record from the Bekaa Valley","10.1177/0959683608095580","Web of Science","ecological","near-time","0 - 12,000","100 years","Local","Pollen, vegetation","Original data",0,1,1,1,0,0,0,1,0,1,0,5
"Mannion, PD",2012,"A temperate palaeodiversity peak in Mesozoic dinosaurs and evidence for Late Cretaceous geographical partitioning","10.1111/j.1466-8238.2011.00735.x","Web of Science","ecological","deep-time","Late Cretaceous","Geological stages","Global","dinosaurs","Meta-analysis/Compilation",1,1,1,0,1,1,1,1,0,0,0,7
"Wen, WW",2013,"Two species of fern macrofossil from the late Miocene of Lincang, Yunnan, China and their paleoecological implications","10.1016/j.palwor.2013.06.004","Web of Science","ecological","deep-time","late Miocene","millions of years","Local","fern macrofossil","Original data",0,1,1,0,0,0,0,1,0,0,0,3
"Virah-Sawmy, M",2010,"Evidence for drought and forest declines during the recent megafaunal extinctions in Madagascar","10.1111/j.1365-2699.2009.02203.x","","ecological","historical","last 6000 years","100 years","Regional","Vegetation and others","Original data",1,1,1,1,1,0,0,1,0,1,0,7
"Mallon, JC",2012,"Megaherbivorous dinosaur turnover in the Dinosaur Park Formation (upper Campanian) of Alberta, Canada","10.1016/j.palaeo.2012.06.024","Web of Science","ecological","deep-time","upper Campanian","millions of years","Local","dinosaurs","Meta-analysis/Compilation",0,1,1,0,0,1,0,0,1,0,0,4
"Krobicki, M",2008,"Middle and Late Jurassic roots of brachyuran crabs: Palaeoenvironmental distribution during their early evolution","10.1016/j.palaeo.2008.01.025","","ecological","deep-time","Middle and Late Jurassic","Geological stages","Continent","crabs","Original data",0,1,1,0,0,0,0,1,0,0,0,3
"Kroger, B",2011,"Review and palaeoecological analysis of the late Tremadocian - early Floian (Early Ordovician) cephalopod fauna of the Montagne Noire, France","10.1002/mmng.201000013","Web of Science","ecological","deep-time","Early Ordovician","millions of years","Local","cephalopod","Original data",0,0,1,0,0,1,1,0,0,0,0,3
"Kilpelainen, A",2010,"Climate change impacts on forest fire potential in boreal conditions in Finland","10.1007/s10584.009.9788.7","Web of Science","ecological","modern","1961-2099","10 years","Regional","multiple","Modelling",1,1,1,1,0,1,1,1,1,1,1,10
"Brinkkemper, O",2008,"The past and present occurrence of Elatine and implications for palaeoenvironmental reconstructions","10.1007/s00334-007-0104-z","","ecological","historical","last two centuries",NA,"Regional","waterwort","Original data",0,1,1,0,0,0,0,1,0,1,0,4
"Berland, A",2011,"Simulated Importance of Dispersal, Disturbance, and Landscape History in Long-Term Ecosystem Change in the Big Woods of Minnesota","10.1007/s10021-011-9418-x","Web of Science","ecological","historical","0 - 600","1 year","Regional","Pollen","Modelling",0,1,1,1,1,0,0,1,0,1,0,6
"Meloro, C",2011,"Locomotor adaptations in Plio-Pleistocene large carnivores from the Italian Peninsula: Palaeoecological implications","10.1093/czoolo/57.3.269","Web of Science","ecological","deep-time","Plio-Pleistocene",NA,"Regional","mammalian carnivores","Original data",0,1,1,0,1,1,1,1,1,1,0,8
"Marra, MJ",2011,"Persistence of New Zealand Quaternary beetles","10.1080/00288306.2011.599399","","ecological","near-time","Quaternary",NA,"Regional","beetles","Original data",0,1,1,0,0,0,0,0,1,1,0,4
"Keppel, G",2012,"Refugia: identifying and understanding safe havens for biodiversity under climate change","10.1111/j.1466-8238.2011.00686.x","","ecological","near-time","Quaternary",NA,"Global","multiple","Review (nothing new)",1,1,1,1,0,0,0,1,0,0,0,5
"Fedonkin, MA",2009,"Eukaryotization of the Early Biosphere: A Biogeochemical Aspect","10.1134/S0016702909130011","Web of Science","evolution","deep-time","pre-cambrian","na","na","early life","Review (nothing new)",0,1,1,1,0,0,0,1,0,0,0,4
"Wang, XD",2013,"Early Permian rugose coral Cyathaxonia faunas from the Sibumasu Terrane (Southeast Asia) and the southern Sydney Basin (Southeast Australia): Paleontology and paleobiogeography","10.1016/j.gr.2012.08.026","Web of Science","ecological","deep-time","Early Permian","millions of years","Global","corals","Original data",0,0,1,0,0,0,0,1,0,0,0,2
"Kaltenrieder, P",2010,"Vegetation and fire history of the Euganean Hills (Colli Euganei) as recorded by Lateglacial and Holocene sedimentary series from Lago della Costa (northeastern Italy)","10.1177/0959683609358911","","ecological","near-time","Late Glacial and Holocene","100 years","Local","Vegetation","Original data",0,0,1,1,1,1,1,1,0,1,0,7
"Price, GD",2012,"Isotopic analysis of belemnites and brachiopods from the Cretaceous (Albian) Hunstanton Red Chalk Formation (Hunstanton, Norfolk, UK)","10.1016/j.pgeola.2011.11.007","Web of Science","ecological","deep-time","Albian (Cretaceous)","millions of years","Local","belemnites and brachiopods","Original data",0,1,1,1,0,1,0,1,0,0,0,5
"Vizcaino, SF",2010,"A baseline paleoecological study for the Santa Cruz Formation (late-early Miocene) at the Atlantic coast of Patagonia, Argentina","10.1016/j.palaeo.2010.04.022","Web of Science","ecological","deep-time","late-early Miocene","millions of years","Local","multiple","Original data",0,0,1,1,0,1,0,1,0,0,0,4
"Pacher, M",2009,"Extinction chronology and palaeobiology of the cave bear (Ursus spelaeus)","10.1111/j.1502-3885.2008.00071.x","","ecological","near-time","late Quaternary","100 years","Continent","cave bear","Original data",0,1,0,0,0,0,0,1,0,0,0,2
"Wilson, MC",2009,"Late Pleistocene Bison antiquus from Orcas Island, Washington, and the biogeographic importance of an early postglacial land mammal dispersal corridor from the mainland to Vancouver Island","10.1016/j.yqres.2008.09.001","","ecological","near-time","Late Pleistocene","10 years","Regional","Bison","Original data",0,1,0,0,0,0,0,1,0,1,0,3
"Beerling, DJ",2012,"Atmospheric carbon dioxide: a driver of photosynthetic eukaryote evolution for over a billion years? Introduction","10.1098/rstb.2011.0276","Web of Science","ecological","deep-time","Over billions of years",NA,"Global","multiple","Review (nothing new)",1,1,1,1,0,0,0,1,0,1,0,6
"Bell, A",2011,"Statistical approach for inferring ecology of Mesozoic birds","10.1080/14772019.2010.525536","Web of Science","ecological","deep-time","Mesozoic",NA,"Global","Birds","Meta-analysis/Compilation",0,0,1,0,0,0,0,0,0,0,0,1
"Gomez, JJ",2009,"Palaeoclimatic and biotic changes during the Aalenian (Middle Jurassic) at the southern Laurasian Seaway (Basque-Cantabrian Basin, northern Spain)","10.1016/j.palaeo.2009.01.009","","ecological","deep-time","Aalenian (Middle Jurassic)","millions of years","Regional","ammonoids","Original data",1,1,1,0,0,0,0,1,0,0,0,4
"Weber, K",2013,"Delta-associated molluscan life and death assemblages in the northern Adriatic Sea: Implications for paleoecology, regional diversity and conservation","10.1016/j.palaeo.2012.11.021","","ecological","modern",NA,NA,"Regional","molluscs","Original data",0,1,1,1,0,1,1,0,1,0,0,6
"Ghosh, AK",2013,"Palaeoecological Implications of Corallinacean Red Algae and Halimedacean Green Aalgae from the Prang Formation of South Shillong Plateau, Meghalaya","10.1007/s12594-013-0068-9","Web of Science","ecological","deep-time","Eocene","millions of years","Local","coralline algae & hallimeda","Original data",0,0,1,1,0,0,0,0,0,0,0,2
"Rahmani, Z",2010,"FACIES DISTRIBUTION AND PALAEOECOLOGY OF THE GURI MEMBER OF THE MISHAN FORMATION, IN LAR AREA, FARS PROVINCE, SW IRAN",NA,"Web of Science","ecological","deep-time","Early Miocene",NA,"Local","multiple ","Original data",0,1,1,1,0,0,0,0,0,0,0,3
"Hunt, JR",2012,"Depositional environment, stratigraphy, structure and paleobiology of the Hatchery Creek Group (Early-?Middle Devonian) near Wee Jasper, New South Wales","10.1080/08120099.2012.625447","Web of Science","ecological","deep-time","Devonian","millions of years","Local","multiple","Review (nothing new)",0,1,1,1,0,0,0,1,0,0,0,4
"Wachnicka, A",2013,"Impact of Late Holocene climate variability and anthropogenic activities on Biscayne Bay (Florida, USA): Evidence from diatoms","10.1016/j.palaeo.2012.12.020","Web of Science","ecological","near-time","0 - 600 ","","Local","Diatoms","Original data",1,1,1,0,1,0,0,1,0,1,0,6
"Carrion, JS",2010,"The historical origins of aridity and vegetation degradation in southeastern Spain","10.1016/j.jaridenv.2008.11.014","","ecological","near-time","Quaternary-Holocene","100 years","Regional","vegetation","Original data",1,1,1,1,0,0,0,1,0,1,0,6
"Condamine, FL",2013,"Macroevolutionary perspectives to environmental change","10.1111/ele.12062","Web of Science","ecological","deep-time","Phanerozoic","na","na","many","Review (new analysis)",1,1,1,1,0,1,1,1,1,1,1,10
"Mary, M",2008,"Stromatolites of the Lower Triassic Union Wash Formation, CA: Evidence for continued post-extinction environmental stress in western North America through the Spathian","10.1016/j.palaeo.2008.01.008","Web of Science","ecological","deep-time","Lower Triassic","millions of years","Local","stromatolites, conodont, others","Original data",1,1,1,1,0,0,0,1,0,0,0,5
"Herman, AB",2010,"Mid-Cretaceous floras and climate of the Russian high Arctic (Novosibirsk Islands, Northern Yakutiya)","10.1016/j.palaeo.2010.02.034","Web of Science","ecological","deep-time","Cretaceous","na","Local","Plants","Original data",1,1,1,1,0,0,0,1,0,0,0,5
